dia,habitat,punto,hora,dba,adi,aci,ae,bi,ndsi
5,cultivo,2,61700,33.3726528664982,1.531299,5578.77819311034,0.631988,5.26511054394071,0.873391027169416
5,cultivo,3,62700,46.1367973162438,1.793573,6273.7636567548,0.532385,7.36030818370922,0.788347188796697
5,cultivo,4,64500,47.2199312868972,2.142483,8538.06043066684,0.28108,8.55326168749711,0.986178466946869
5,cultivo,5,65400,42.5512605401167,1.40602,6070.91414974783,0.690373,8.45841461313482,0.949157740168976
5,tetechera,1,83200,33.7630772869534,1.010205,4833.31198797923,0.76685,3.75364438786272,0.664633238588403
5,tetechera,2,84500,38.5682758231347,1.536772,4641.8767189657,0.640064,11.0940554197257,0.981010734190435
5,tetechera,3,85700,38.2185231279773,1.311614,5988.8678527527,0.710255,8.10233328438861,0.953037398746506
5,tetechera,4,90500,38.8975999679987,0.505405,4816.66748966334,0.859672,3.47867082904995,0.126195284316175
5,mezquitera,1,71100,36.4197945279837,1.415501,5524.36833988464,0.669239,6.64800556071743,0.806584669096373
5,mezquitera,2,72600,34.6227977082509,1.10431,4135.7970121212,0.749535,5.6791858098897,0.820718205565739
5,mezquitera,3,74000,37.8403758296561,1.517649,4466.4572929198,0.645672,8.39357578820475,0.92281286596103
5,mezquitera,4,75500,33.9985848689186,0.086871,4862.16548968887,0.895122,3.83040009590122,0.255375557736834
6,mezquitera,1,72200,39.2858417905514,0.950073,10628.516942147,0.784876,9.38249870433898,0.743355713492527
6,mezquitera,2,74300,38.4306043019456,0.172355,13830.8570849767,0.885647,6.61799923684691,0.230645275507885
6,mezquitera,3,81200,36.0806702806769,1.306662,16122.2940599365,0.692508,4.71191885239203,0.826741765828604
6,mezquitera,4,84100,41.9367696109047,0.180023,10551.5480870391,0.885684,7.70198370881659,-0.104079952114627
6,mezquitera,5,61800,36.9259662016536,2.298297,5259.94974459125,0.051689,1.82473424772979,0.671093793558487
6,cultivo,1,63400,36.1567397277456,1.403723,3847.91068818481,0.690642,4.88796169955207,0.877586672136595
6,cultivo,2,64400,39.7416501356893,1.500747,9396.16480978751,0.657015,6.70273887713846,0.90589524702365
6,cultivo,3,65200,38.121546812249,2.055106,5894.48551174451,0.380642,5.52697816992363,0.819939371947894
6,cultivo,4,70300,35.4797806545937,0.892051,7099.83745198552,0.801236,4.91004664467191,0.785492044098013
6,tetechera,1,90100,40.9199257158664,0.062676,12202.7348421935,0.896377,4.03182611574135,-0.019930791217889
6,tetechera,2,91300,35.0324476194554,0.003212,8659.11483889218,0.899907,3.47675662771209,0.115159511809772
6,tetechera,3,92400,37.4317467518104,0.260231,9961.97535511851,0.876261,3.6589379224121,0.00730738630483
6,tetechera,4,93000,36.8201408324928,0.152759,10708.4425879411,0.892873,5.33564814413145,-0.136054925752276
